file,barcode,sample,group,Run,Lane,Oligo,system,color,batch,bam
01_0307_00CWCCF_HCT116_AHT_CTCF_hs_i72,NA,HCT116_CTCF,HCT116_CTCF,r1,1,2,colon,#ABABAB,1120,fastq/kundaje_encode/01_0307_00CWCCF_HCT116_AHT_CTCF_hs_i72/align/rep1/01_0307_00CWCCF_HCT116_AHT_CTCF_hs_i72.nodup.bam
02_0308_00CWCCF_DKO_AHT_CTCF_hs_i73,NA,DKO_CTCF,DKO_CTCF,r1,1,2,colon,#030303,1120,fastq/kundaje_encode/02_0308_00CWCCF_DKO_AHT_CTCF_hs_i73/align/rep1/02_0308_00CWCCF_DKO_AHT_CTCF_hs_i73.nodup.bam
07_030P_00CWCCF_HCT116_AHT_SMC1_hs_i86,NA,HCT116_SMC1,HCT116_SMC1,r1,1,2,colon,#ABABAB,1120,fastq/kundaje_encode/07_030P_00CWCCF_HCT116_AHT_SMC1_hs_i86/align/rep1/07_030P_00CWCCF_HCT116_AHT_SMC1_hs_i86.nodup.bam
08_030Q_00CWCCF_DKO_AHT_SMC1_hs_i87,NA,DKO_SMC1,DKO_SMC1,r1,1,2,colon,#030303,1120,fastq/kundaje_encode/08_030Q_00CWCCF_DKO_AHT_SMC1_hs_i87/align/rep1/08_030Q_00CWCCF_DKO_AHT_SMC1_hs_i87.nodup.bam
13_031N_00CWCCF_HCT116_AHT_RAD21_hs_i72,NA,HCT116_RAD21,HCT116_RAD21,r1,1,2,colon,#ABABAB,1120,fastq/kundaje_encode/13_031N_00CWCCF_HCT116_AHT_RAD21_hs_i72/align/rep1/13_031N_00CWCCF_HCT116_AHT_RAD21_hs_i72.nodup.bam
14_031O_00CWCCF_DKO_AHT_RAD21_hs_i73,NA,DKO_RAD21,DKO_RAD21,r1,1,2,colon,#030303,1120,fastq/kundaje_encode/14_031O_00CWCCF_DKO_AHT_RAD21_hs_i73/align/rep1/14_031O_00CWCCF_DKO_AHT_RAD21_hs_i73.nodup.bam
19_030B_00CWCCF_HCT116_AHT_H3K27Ac_hs_i79,NA,HCT116_H3K27Ac,HCT116_H3K27Ac,r1,1,2,colon,#ABABAB,1120,fastq/kundaje_encode/19_030B_00CWCCF_HCT116_AHT_H3K27Ac_hs_i79/align/rep1/19_030B_00CWCCF_HCT116_AHT_H3K27Ac_hs_i79.nodup.bam
20_030C_00CWCCF_DKO_AHT_H3K27Ac_hs_i80,NA,DKO_H3K27Ac,DKO_H3K27Ac,r1,1,2,colon,#030303,1120,fastq/kundaje_encode/20_030C_00CWCCF_DKO_AHT_H3K27Ac_hs_i80/align/rep1/20_030C_00CWCCF_DKO_AHT_H3K27Ac_hs_i80.nodup.bam
25_031J_00CWCCF_HCT116_AHT_Pol2Ser5_hs_i68,NA,HCT116_Pol2Ser5,HCT116_Pol2Ser5,r1,1,2,colon,#ABABAB,1120,fastq/kundaje_encode/25_031J_00CWCCF_HCT116_AHT_Pol2Ser5_hs_i68/align/rep1/25_031J_00CWCCF_HCT116_AHT_Pol2Ser5_hs_i68.nodup.bam
26_031K_00CWCCF_DKO_AHT_Pol2Ser5_hs_i69,NA,DKO_Pol2Ser5,DKO_Pol2Ser5,r1,1,2,colon,#030303,1120,fastq/kundaje_encode/26_031K_00CWCCF_DKO_AHT_Pol2Ser5_hs_i69/align/rep1/26_031K_00CWCCF_DKO_AHT_Pol2Ser5_hs_i69.nodup.bam
31_031F_00CWCCF_HCT116_AHT_Pol2Ser2_hs_i93,NA,HCT116_Pol2Ser2,HCT116_Pol2Ser2,r1,1,2,colon,#ABABAB,1120,fastq/kundaje_encode/31_031F_00CWCCF_HCT116_AHT_Pol2Ser2_hs_i93/align/rep1/31_031F_00CWCCF_HCT116_AHT_Pol2Ser2_hs_i93.nodup.bam
32_031G_00CWCCF_DKO_AHT_Pol2Ser2_hs_i94,NA,DKO_Pol2Ser2,DKO_Pol2Ser2,r1,1,2,colon,#030303,1120,fastq/kundaje_encode/32_031G_00CWCCF_DKO_AHT_Pol2Ser2_hs_i94/align/rep1/32_031G_00CWCCF_DKO_AHT_Pol2Ser2_hs_i94.nodup.bam
