factor	real_us_rate	real_btw_rate	real_ds_rate	permmean_us_rate	permmean_btw_rate	permmean_ds_rate	l2fc_us_rate	l2fc_btw_rate	l2fc_ds_rate	z_us_rate	z_btw_rate	z_ds_rate	ds_frac	btw_frac	us_frac
ESR1	0.00377284606158148	0.0042388918120129	0.00543210226390273	0.00334714388824601	0.00293494829836427	0.00325820614757703	0.172722665522702	0.530352056135741	0.737432753334738	0.609733523279515	1.69954069637656	3.53162268007501	0.118932038834951	0.0800970873786408	0.118932038834951
TCF12	0.00938487106590707	0.00762826767707208	0.00791559424245116	0.00747679834994138	0.00558861245286257	0.00677068487260356	0.327916300793811	0.448865335386242	0.225395887385898	1.66100014374079	1.66563379178399	1.06757580703794	0.186893203883495	0.133495145631068	0.184466019417476
SIX5	0.00169301541493467	0.00095974396691639	0.00148118518793014	0.00158495521860291	0.000571684886283573	0.0011111724511462	0.0951530300876997	0.747429436082376	0.414669290816926	0.310857128668307	1.46275038314552	1.29405071402665	0.0679611650485437	0.0266990291262136	0.0679611650485437
CREB1	0.00291113571106307	0.00159640580635598	0.00256509885194524	0.00247090826027277	0.00107573995991695	0.00204818548095268	0.236540649086334	0.569498055853996	0.324668054655657	0.968940153711622	1.36140115861389	1.17773699973545	0.116504854368932	0.0558252427184466	0.106796116504854
POU5F1	0.000147254300405045	0.000381182610905406	0.000294275202900028	0.000279867597523505	0.000241096743621166	0.000266880490606761	-0.926434697365878	0.66087014144997	0.140972132696529	-1.61870281635318	1.30234376322821	0.357265391358161	0.0218446601941748	0.0266990291262136	0.0121359223300971
USF1	0.00777570879425861	0.00652422274313559	0.00781913737038948	0.00700334868471823	0.00539608145548011	0.00675858294973476	0.150929271438136	0.273893911495799	0.2102886610637	0.876141384452069	1.29195863296566	1.19949820473329	0.240291262135922	0.20631067961165	0.216019417475728
ESRRA	0.000229062245074514	0.000348467151778554	0.000183104570693351	0.000236052780532588	0.00019641882653271	0.000232100248076036	-0.0433697892969498	0.827089449954415	-0.342080260250676	-0.0633828301071456	1.16590275844068	-0.4862588667504	0.00970873786407767	0.0169902912621359	0.0121359223300971
POLR2A	0.0593835689561211	0.0546395679496014	0.0613454807230669	0.0513751283692617	0.0457589228790965	0.0574852803917338	0.208993708379087	0.25589298301211	0.0937644768333249	1.08202433395293	1.14907881864511	0.458542047097657	0.529126213592233	0.449029126213592	0.385922330097087
RELA	0.00896315111113596	0.00606769955208328	0.00676383379554522	0.00750644295971438	0.00476845392033613	0.00669623627020125	0.255876592430942	0.347628075067043	0.0144907766464162	1.27069136806384	1.14831033332939	0.056515108922232	0.169902912621359	0.131067961165049	0.174757281553398
BCL11A	0.00260449226512701	0.00248040194674629	0.00182409754242059	0.00214226315136777	0.00193597081122009	0.00208637342773735	0.281866443771975	0.357516725745376	-0.193814521751709	1.22038659538227	1.12395674009626	-0.658433384549668	0.0922330097087379	0.0849514563106796	0.114077669902913
